Parameter,Value
Recording Duration,59.90 sec
Total Cycles,19
Breathing Rate,19.03 breaths/min
Average RMS,0.01140523
Maximum RMS,0.07986438
Minimum RMS,0.0
Average Peak Amplitude,0.03231437
Maximum Peak Amplitude,0.046862632
Minimum Peak Amplitude,0.008799748
Average Cycle Duration,2.8689543965734443
Minimum Cycle Duration,2.1826757369614533
Maximum Cycle Duration,4.0402721088435385
Standard Deviation,0.6334491876108942
Consistency Score,77.92%
